序号,关卡,任务,任务清单,学习目标,知识点,是否保留
1,01Introduction(入门),将故障电脑的可用硬件（网卡、音频设备）转移并安装到其他电脑上，完成设备启动、重命名及重新部署。,"1.这台故障电脑已无法使用。请从故障电脑上取下网卡，并将其安装到Computer1中。
2.启动Computer1。
3.将PC2重命名为Computer2，然后关闭该电脑。
4.从故障电脑上取下麦克风和耳机，并将它们安装到Computer2上。
5.将Computer1和Computer2移至原故障电脑所在的桌子。","1.能够识别计算机的主要内部组件（如网络接口卡）和外部设备（如麦克风、耳机），并安全、正确地进行物理安装、拆卸和连接。
2.掌握计算机的启动与关闭操作，并能够对网络环境中的设备进行标识管理（如重命名设备）。
3.能够根据工作场景要求，规划和执行计算机设备的物理位置部署与移动。",网络硬件、外设连接。,保留
2,02Equipment Purchase and Connection（设备采购与连接）,使用给定的100积分资金购买正确的线缆和网卡，完成两台电脑与无线路由器的物理连接，并配置DHCP使它们自动获取IP地址。,"1.更换连接 PC0 与无线 Router0 的线缆，并在 PC1 上安装一个 PT-HOST-NM-1CFE 快速以太网模块。前往网络设备商店购买正确的线缆和一张新网卡。
2.使用正确的线缆将 PC0 连接到 无线 Router0 的 Ethernet 2 端口，随后打开 PC0 的 FastEthernet 端口。
3.在 PC1 上安装网络接口卡。
4.PC1 需要连接到无线Router0的 Ethernet 1 端口。
5.在快速以太网接口上启用DHCP，以在PC0和PC1上自动获取IP地址。","1.能够根据设备类型（如PC与无线路由器）正确选择并应用线缆（本关中为铜质直通线），完成物理连接，并掌握网络端口的开启操作。
2.能够将采购的硬件模块（PT-HOST-NM-1CFE快速以太网模块）正确安装到终端设备（PC）上，并完成设备间的物理布线。
3.能够在终端设备上启用DHCP客户端功能，使其能够从网络自动获取IP地址，并理解此过程可能需要时间及模式切换（实时/模拟）以加速。",线缆类型、DHCP动态主机配置协议,保留
3,03Networking Cabling Basics（网络布线基础）,完成一个小型局域网的搭建，包括采购所需设备（电脑、线缆、路由器及模块）、进行物理部署与连接，并最终为路由器和所有电脑配置IP地址以实现网络互通。,"1.购买 2 台新的台式电脑和 2 条直通线。
2.购买一台思科1841路由器。
3.为思科1841路由器购买一个4端口交换模块（型号：HWIC-4ESW）。
4.为一台个人计算机购买一个 PT-HOST-NM-1CFE 模块作为备用件。
5.将所有新的和现有的个人计算机放置到窄桌上。
6.将 1841 路由器放置在大桌子上。
7.使用右侧的插槽将 HWIC-4ESW 模块安装到 1841 路由器中。
8.将所有四台个人计算机连接到路由器的交换模块。
9.使用 IP 地址 10.0.0.1/8 配置路由器的 VLAN1 接口，并开启所有已连接的接口。
10.请依次为 PC0 到 PC3 配置 10.0.0.0/8 网络中接下来可用的四个 IP 地址，并同时配置默认网关。","1.能够根据给定的网络拓扑需求（连接四台PC），规划并采购所需的全部硬件设备（终端、路由器、模块、线缆）;
2.能够通过命令行界面（CLI）为路由器的管理接口（VLAN 1）配置IP地址和子网掩码，并启用该接口，使其能够作为局域网的网关;
3.能够在给定的IP网段（如10.0.0.0/8）内，正确规划可用的主机地址，并依次为多台终端设备手动配置IP地址、子网掩码和默认网关，确保全网IP地址的唯一性与可达性。",设备采购与选型、 CLI基础命令、IP地址规划、接口配置,保留
4,04Connectivity Troubleshooting(连通性故障排除),通过执行连通性测试（Ping）、更新路由器IP地址、配置客户端DHCP以及发送协议数据单元（PDU）等一系列操作，诊断并修复网络故障，最终验证网络恢复正常。,"1.通过 ping www.cisco.com来排查网络故障。如有必要，请联系您的互联网服务提供商（ISP）。
2.更新 Linksys 路由器的 IP 地址。请等待几分钟以便完成更新。
3.在 PC0 上启用 DHCP，以便从 Linksys 路由器自动获取 IP 地址。
4.发送所有协议数据单元（PDU）并确认其发送成功。","1.能够遵循标准诊断流程，从终端设备（PC）出发，使用 `ping`和 `traceroute`等基础命令测试本地与远程（如 `www.cisco.com`）的连通性，并基于测试结果（如本地通但外网不通）初步判断故障范围（如可能为ISP或网关问题）;
2.能够检查并正确配置终端设备（如PC0）的网络接口，启用DHCP客户端功能，使其能够从本地网络（Linksys路由器）自动获取有效的IP地址、默认网关和DNS服务器地址，确保本地网络参数正确;
3.在完成各项修复操作后，能够使用模拟工具发送全面的协议数据单元（PDU）进行测试，并确认所有关键连通性测试（如到网关、到互联网）均成功，从而形成完整的“诊断-修复-验证”故障排除闭环。",网络诊断流程、ping命令、traceroute命令、连通性验证,保留
5,05Layer 7 Applications （第7层应用）,通过检查应用层服务（邮件、网页）发现网络中断，使用ping和tracert命令诊断，并安全登录远端路由器启用其关闭的物理端口，从而修复故障并恢复服务访问。,"1.检查笔记本电脑上的电子邮件客户端。
2.访问 http://www.cli-cafe.com。
3.检查各台设备以找出问题的根源。如需帮助，请向玛丽亚咨询。
4.通过安全访问云端IP地址为 10.0.0.2 的路由器来排查网络问题。用户名和密码是 admin/ccna。
5.再次访问该网站。","1.能够识别典型应用层服务（如电子邮件客户端、网页浏览）的中断现象，能够运用标准网络诊断工具，从终端设备出发执行分层排查;
2.能够通过加密协议（如SSH）安全地远程登录到目标网络设备（如云端路由器），并使用正确的身份凭证进行认证;
3.在实施修复操作后，能够返回终端用户视角，重新测试最初出现问题的应用层服务（如再次访问网站），以验证故障已完全排除，确保问题解决形成有效闭环。",应用层服务与网络分层故障排查、网络诊断工具的使用、安全远程访,保留
6,06Fix the web page（修复网页）,通过访问网页定位拼写错误，使用FTP从服务器下载对应文件，在配置路由器VTY线路仅允许SSH访问以增强安全性的同时，于本地完成文件编辑并上传，最终修复网页内容。,"1.修复网页,使用Maria的笔记本电脑访问网站 http://www.cli-cafe.com。
2.找出网页上的拼写错误。
3.通过FTP连接HTTP服务器并下载文件
4.将路由器的虚拟终端线路传输输入方式更改为仅SSH。
5.在本地编辑文件。
6.上传文件。","1.能够使用浏览器访问指定网站，仔细审查网页内容，并准确识别出其中存在的具体错误（如拼写错误），这是进行内容维护或问题报告的第一步;
2能够使用FTP客户端或命令行工具，安全地连接到服务器，执行文件的下载与上传操作，实现对网站源文件的获取与更新;
3.能够登录并配置网络设备（如路由器），特别是修改其虚拟终端线路（VTY lines）的访问协议，将其设置为仅允许SSH，以禁用安全性较差的Telnet等协议，从而加固设备的远程管理安全。",应用层服务访问与内容审查（HTTP）、文件传输协议操作（FTP）、网络设备安全管理（VTY配置与SSH）,保留
8,08Configure Static Routing（配置静态路由）,在中心路由器（Agency Hub）上配置指向三台远程办公子网的静态路由，在三台远程办公路由器上配置指向中心的默认路由，验证全网连通性并排查潜在问题，最后在中心路由器上通过OSPF路由重分发（进程ID 111）将这些静态路由注入到机构的OSPF域中，实现混合路由环境下的全网互通。,"1.请在每台远程办公路由器上配置正确的默认路由。
2.在代理中心路由器上，为每个远程办公网络配置静态路由。
3.触发预配置的 PDU，以验证新远程办公网络中的所有路由是否正常工作。
4.配置 Agency Hub 路由器，使用 OSPF 将远程办公路由传播到机构网络中。请务必使用进程 ID 111。","1.能够配置默认路由、明细静态路由；

2.能够在已运行动态路由协议（OSPF）的核心路由器上，配置**路由重分发**，将本地配置的静态路由导入到OSPF进程中。",默认路由配置、明细静态路由配置、静态路由重分发至OSPF,保留
10,10Convert School Network(校园网络改造),完成一次校园网络的骨干层改造，将核心路由器之间的连接从帧中继网络迁移到城域以太网交换机，在新的物理拓扑上配置RIPv2路由协议和出口默认路由，并通过调整访问控制列表（ACL）实现远程办公用户的特定访问权限。,"1.断开帧中继网络。
2. 将路由器R1、R2和R3连接到城域以太网交换机。如果库存中没有电缆，您可能需要购买。
3.使用出口接口在路由器R2上配置一条默认路由。
4.在路由器R1上配置RIP版本2。
5.在路由器R2上配置RIP版本2。
6.在路由器R3上配置RIP版本2。
7.使用电缆调制解调器连接 TW-Cable。
8.修改路由器R2上的“permit-incoming”访问控制列表，以允许两台远程办公PC访问内网服务器的网页。","1.能够在全网多台路由器上部署RIPv2协议;
2.能够在边界路由器上配置指向出口接口的默认静态路由;
3.能够根据新的业务需求（允许特定远程用户访问内网Web服务），分析、修改已有的扩展命名ACL。",动态路由协议RIPv2的配置、默认路由配置与重分发、扩展命名访问控制列表的配置与修改,保留
12,12Resolve EIGRP Problems(解决EIGRP问题),在已确认Admin1路由器EIGRP配置正确的前提下，排查校园网络中其他路由器（Admin2、Admin3、Library1等）上存在的IP地址配置错误与EIGRP协议配置错误，并通过修正这些错误以恢复全网的EIGRP邻居关系与路由互通。,"1.排查并修复 EIGRP 安装。
提示：Admin1 路由器上的 EIGRP 配置是正确的。请使用用户名 Intern 和密码 support 登录 Admin1 以查看配置。
提示：路由器上可能也存在一些 IP 地址配置错误。每台 PC 都已静态分配了正确的 IP 地址和网关信息。","1.能够检查并修正路由器接口的IP地址与子网掩码配置错误；

2.能够检查并修正EIGRP协议本身的配置错误。",接口IP地址与子网掩码配置纠错、EIGRP 配置,保留
14,14Configure VTP on a Network(在网络上配置VTP),在一个医疗办公室的网络中，通过配置交换机基础安全、建立VTP域实现VLAN信息的集中管理与同步，并在核心交换机上创建部门VLAN，最后通过部署单臂路由来实现各VLAN之间的互访。,"1.在每台交换机上配置基本安全设置，包括MOTD（当日消息）横幅。
2.在医疗办公室的交换机之间配置VTP。将VTP域设置为 Medical，并将VTP密码设置为 VTP123。
3.在VTP服务器上配置新的VLAN。这些VLAN应为：
VLAN 20 财务
VLAN 30 办公室
VLAN 40 接待处
4.配置单臂路由接口，实现新VLAN之间的路由。将路由器的显示名称更改为 MedRtr。
5.在IT管理交换机上，将fa0/23配置为802.1q中继端口以连接到路由器。",能够根据网络架构，规划并配置一个统一的VTP域，在VTP服务器上批量创建业务VLAN；能够划分接入层端口VLAN；能够通过部署一台路由器实现不同VLAN间的通信。,VTP域与模式配置、接入层端口VLAN划分、单臂路由（路由器子接口）配置,保留
15,15Configure Spanning Tree(配置生成树),排查并解决因新交换机接入导致的网络环路问题，通过正确配置VTP客户端、修复Trunk链路原生VLAN不匹配、将接入端口划入正确VLAN，并调整生成树优先级，最终确保新接入的交换机不会成为网络中的根桥，从而恢复网络稳定运行。,"1.使用两台交换机上的fa0/23端口将会议室交换机连接至办公室SW2交换机。
2.将会议室交换机设置为 VTP 客户端。修复所有中继链路错误。
3.会议室网络应配置为VLAN 40。
4.重新配置会议室交换机上的生成树协议，以确保它不会成为任何VLAN的根交换机。","能够将一台全新的交换机成功集成到现有的VTP（VLAN中继协议）域中；

理解生成树协议（STP）在防止网络环路中的核心作用；

掌握在接入层交换机上，通过配置每个VLAN的生成树优先级为最高数值，来确保该交换机绝不会成为任何VLAN的根桥。",VTP客户端配置与集成、生成树根桥控制与优先级配置,保留
19,19Finale(最终章),综合运用网络设备管理、VLAN、ACL、无线安全和NAT等多种技能，分步修复一个复杂校园网络中教职员工/管理员的访问故障、实验室/教室的安全与访问问题，并最终恢复整个网络的互联网连接。,"1.修复教职员工和管理员的访问问题。
2.修复实验室和教室访问及其他安全问题。
3.修复网络连接问题。","能够根据“教职员工访问问题”、“实验室安全访问问题”、“互联网连通性问题”等分层、分域的故障描述，快速定位故障发生的物理和逻辑层级；

能够综合运用路由交换配置、安全策略部署（ACL、无线安全）及网络服务（DHCP、NAT）配置等多种技能，以诊断和修复一个多层、多区域的复杂网络故障，最终实现全网连通性、访问控制合规性及安全管理要求的综合工程实践能力。",系统性网络故障排查与修复流程 VLAN、ACL、NAT、OSPF、DHCP等技术,保留
